ID,Address,Rooms,Type,Price,Date,Bathroom,Car,Landsize,Age,Lattitude,Longtitude,Suburb,crime_A_average,crime_B_average,crime_C_average,train_station_id,distance_to_train_station,travel_min_to_CBD,over_priced?
ID578860701,33 Bedford St,3,h,860000.0,23/09/2017,2.0,2.0,593.0,5.0,-37.72057,144.87558,AIRPORT WEST,1214.6666666666667,5603.666666666667,375.3333333333333,20033,4055.587030235007,34,0
ID464458363,9 Dorset St,4,t,1170000.0,9/09/2017,3.0,2.0,725.0,83.0,-37.89868,145.14635,GLEN WAVERLEY,56.333333333333336,98.33333333333333,19.0,22249,3676.780051315679,33,0
ID917430410,5/28 Eleanor St,2,t,480000.0,6/08/2016,1.0,1.0,556.0,9.0,-37.7919,144.8854,FOOTSCRAY,1923.6666666666667,8979.333333333334,620.3333333333334,20023,1103.0280417689057,19,0
ID344040544,108 Willsmere Rd,3,h,1775000.0,19/08/2017,2.0,4.0,733.0,114.0,-37.79398,145.03777,KEW,288.0,712.0,75.66666666666667,19931,1827.248404657942,24,0
ID948004615,6 Brigden Ct,3,h,663500.0,3/06/2017,2.0,1.0,991.0,104.0,-37.65887,145.06253999999996,MILL PARK,1508.3333333333333,6073.0,553.6666666666666,45795,1151.2453915213757,49,0
ID964114947,39 Smith St,3,h,1913000.0,25/02/2017,2.0,2.0,611.0,89.0,-37.7575,144.9968,THORNBURY,2532.3333333333335,5455.0,713.0,20014,313.973533948562,25,0
ID237651882,32 Holloway Rd,3,h,1405000.0,27/05/2017,2.0,2.0,401.0,99.0,-37.76491,144.95253,BRUNSWICK,941.3333333333334,5813.0,575.6666666666666,19968,695.3229534687381,25,0
ID457514665,2/16 Charnwood Rd,2,u,650000.0,18/06/2016,1.0,0.0,822.0,89.0,-37.8585,144.9854,ST KILDA,1363.6666666666667,6287.666666666667,564.3333333333334,19957,643.6387901029835,15,0
ID502325241,4/17 Bulla Rd,1,u,260000.0,10/09/2016,1.0,1.0,0.0,49.0,-37.7428,144.9086,ESSENDON NORTH,334.6666666666667,1407.6666666666667,88.33333333333333,20036,1191.8753596239878,27,0
ID949249909,4/22 Grandview Gr,3,h,720000.0,12/08/2017,2.0,2.0,255.0,64.0,-37.84633,145.26267,BAYSWATER,97.66666666666667,233.33333333333334,26.333333333333332,19870,702.2131455406367,45,0
ID950806918,4/568 Toorak Rd,3,u,1100000.0,4/03/2017,2.0,1.0,0.0,84.0,-37.8429,145.0227,TOORAK,647.0,2861.3333333333335,222.66666666666666,19946,1168.5146952178025,18,0
ID326316579,28/81 Edinburgh St,2,u,479000.0,4/03/2017,1.0,1.0,0.0,49.0,-37.8258,145.0057,RICHMOND,885.0,1901.0,227.66666666666666,19906,254.9510531824178,11,0
ID579118277,19 Cromwell St,4,h,835000.0,3/09/2017,1.0,3.0,649.0,59.0,-37.7022,144.92241,GLENROY,1841.6666666666667,9184.666666666666,533.3333333333334,20032,525.8742207170868,36,0
ID298568648,22 Neville St,4,h,1880000.0,26/07/2016,2.0,3.0,932.0,49.0,-37.8975,145.0478,CARNEGIE,3703.6666666666665,18944.0,2039.3333333333333,19941,959.8678031959828,32,0
ID641803778,15 Barry St,6,h,6500000.0,13/08/2016,6.0,3.0,1334.0,129.0,-37.8029,145.0267,KEW,271.6666666666667,771.6666666666666,74.0,19905,2133.14673020651,13,0
ID351666191,60 Brooke St,2,h,1000000.0,12/11/2016,1.0,0.0,288.0,19.0,-37.8407,144.9523,ALBERT PARK,1202.0,5034.333333333333,333.0,20043,2489.7643209848416,0,0
ID888623515,31/15 River Bvd,2,u,750000.0,22/05/2016,2.0,1.0,0.0,19.0,-37.8128,145.0133,RICHMOND,824.6666666666666,1890.3333333333333,159.33333333333334,19905,1312.2460057924288,13,0
ID149430705,20 Huntly St,2,h,970000.0,20/05/2017,1.0,2.0,272.0,119.0,-37.7641,144.9073,MOONEE PONDS,313.3333333333333,545.3333333333334,65.66666666666667,20038,1058.9482384160951,22,0
ID837310168,192 Wood St,4,h,870000.0,27/11/2016,1.0,2.0,400.0,129.0,-37.7346,145.0164,PRESTON,659.0,5219.333333333333,338.3333333333333,20011,1383.944721925573,31,0
ID207782097,132 Franklin St,3,h,830000.0,12/08/2017,2.0,1.0,817.0,49.0,-37.72276,145.15316,ELTHAM,2006.6666666666667,7754.333333333333,1051.3333333333333,19987,1127.8770795358364,47,0
ID891160044,16 Benambra Dr,3,h,1190000.0,26/08/2017,1.0,1.0,723.0,7.0,-37.76684,145.11309,TEMPLESTOWE LOWER,2532.3333333333335,5455.0,713.0,19935,4738.181616186608,29,0
ID330083964,8/89 Ballantyne St,1,u,245000.0,22/05/2016,1.0,1.0,0.0,49.0,-37.7581,144.9944,THORNBURY,2403.6666666666665,5212.333333333333,586.6666666666666,20014,499.9230904818786,25,0
ID981251819,5 Margaret St,2,h,1780000.0,7/05/2016,3.0,2.0,635.0,84.0,-37.9205,145.0102,BRIGHTON EAST,2744.3333333333335,10289.666666666666,780.0,19951,1359.026509614089,26,0
ID126031597,176 Cotham Rd,4,h,2625000.0,18/03/2017,2.0,2.0,717.0,129.0,-37.8083,145.0418,KEW,288.0,712.0,75.66666666666667,19904,1539.6526026619235,15,1
ID295226652,2 Fernhurst Gr,4,h,2450000.0,24/09/2016,2.0,2.0,1012.0,119.0,-37.8067,145.0277,KEW,271.6666666666667,771.6666666666666,74.0,19905,1735.9170430449785,13,1
ID956506234,314 Liberty Pde,3,h,580000.0,27/05/2017,1.0,2.0,429.0,69.0,-37.73704,145.03697,HEIDELBERG WEST,1173.6666666666667,8523.666666666666,974.6666666666666,19936,2648.812375867407,31,0
ID934287341,4 French Ct,3,h,660000.0,3/12/2016,1.0,0.0,583.0,49.0,-37.7137,145.0778,WATSONIA,584.3333333333334,2731.6666666666665,211.66666666666666,19984,609.6962916721874,37,0
ID970236865,26 Milton St,3,h,932500.0,28/05/2016,2.0,1.0,254.0,119.0,-37.7738,144.9215,ASCOT VALE,2489.6666666666665,11817.333333333334,1268.6666666666667,20039,170.01170716634562,20,0
ID436544263,2/15 Edgar St,2,u,440000.0,15/10/2016,1.0,1.0,117.0,11.0,-37.8083,144.8775,KINGSVILLE,87.33333333333333,252.0,37.0,20023,997.8801162176487,19,0
ID761104798,405/155 Beach St,2,u,1610000.0,10/12/2016,2.0,2.0,0.0,12.0,-37.8392,144.9257,PORT MELBOURNE,659.0,5219.333333333333,338.3333333333333,22180,3273.0898428790697,0,0
ID264839520,1 Walker Pl,2,h,590000.0,8/07/2017,1.0,1.0,304.0,69.0,-37.78341,144.85574,BRAYBROOK,2897.3333333333335,11243.0,942.0,20022,1873.8081854069726,21,0
ID463112791,28 Blair St,2,h,1100000.0,10/09/2016,1.0,0.0,153.0,119.0,-37.7705,144.9647,BRUNSWICK,958.6666666666666,5673.0,628.0,19968,546.067722532656,25,1
ID842538206,9 McLeod St,3,h,632000.0,27/05/2017,1.0,1.0,471.0,69.0,-37.76951,144.83309,SUNSHINE NORTH,1412.0,6364.0,699.3333333333334,20004,1168.8183649709495,26,0
